id,mpn,title,description,link,price,availability,image_link,brand,google_product_category
B01,B01,Pruhovaný potah Beddinge,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,DAGRA,599
B02,B02,Potah s diamantovým vzorem Beddinge,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,DAGRA,599
E01,E01,Potah pohovky Ektorp 2 neskládací,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-2-sofa/,219 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E04,E04,Potah křeslo Ektorp,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,DAGRA,599
E05,E05,Potah křeslo Jennylund,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-jennylund-armchair/,109 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,DAGRA,599
E06,E06,Potah na rohový Ektorp,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-corner-sofa/,449 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,DAGRA,599
E09,E09,Potah na podnožku Ektorp,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,DAGRA,599
E10,E10,Potah pohovky Ektorp 3 rozkládací nový model,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-3-new-model-sofa-bed/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,DAGRA,599
E11,E11,Potah křeslo  Tullsta,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-tullsta-armchair/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg,DAGRA,599
E12,E12,Potah křeslo  starý model Muren,"Obal je pečlivě zpracován s důrazem na detail. Díky tomu se můžete těšit z vynikajícího vzhledu. Potah lze sejmout a vyprat v pračce, takže se snadno udržuje v čistotě.",https://dagra.eu/cz/product/cover-ektorp-muren-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,599
