id,mpn,title,description,link,price,availability,image_link,brand,google_product_category
B01,B01,Gesteppter Bezug für 3er-Bettsofa Beddinge Streifen,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,DAGRA,599
B02,B02,Gesteppter Bezug für 3er-Bettsofa Beddinge Rauten,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,DAGRA,599
E01,E01,Bezug für 2er-Sofa Ektorp ohne Schlaffunktion altes Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-2-sofa/,219 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E04,E04,Bezug für Sessel Ektorp,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,DAGRA,599
E05,E05,Bezug für Sessel Jennylund,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-jennylund-armchair/,109 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,DAGRA,599
E06,E06,Bezug für 4er-Ecksofa Ektorp,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-corner-sofa/,449 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,DAGRA,599
E09,E09,Bezug für Hocker Ektorp,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,DAGRA,599
E10,E10,Bezug für 3er-Schlafsofa Ektorp neues Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-3-new-model-sofa-bed/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,DAGRA,599
E11,E11,Bezug für Sessel Tullsta,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-tullsta-armchair/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg,DAGRA,599
E12,E12,Bezug für Sessel Muren altes Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-muren-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,599
S01,S01,Bezug für Sessel Strandmon,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-strandmon-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/S01_A15-1.jpg,DAGRA,599
S02,S02,Bezug für Hocker Strandmon,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-strandmon-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/S02_A15-1.jpg,DAGRA,599
B03,B03,Kissenbezug für das Modell Beddinge,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-back-cushion-beddinge/,9 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B03_L32.jpg,DAGRA,2927
B04,B04,Bezug für die halbe Nackenrolle Beddinge,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-cushion-beddinge-half-moon/,14 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B04_L32.jpg,DAGRA,2927
B05,B05,Bezug für Armlehne-Kissen Beddinge,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-cushion-beddinge-square/,14 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B05_L32.jpg,DAGRA,2927
E02,E02,Bezug für 2er-Schlafsofa Ektorp neues Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-2-new-model-sofa-bed/,229 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E03,E03,Bezug für 3er-Sofa Ektorp ohne Schlaffunktion,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-3-sofa/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/2/E03_A23-1.jpg,DAGRA,599
E08,E08,Bezug für 3er-Schlafsofa Ektorp Pixbo altes Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-3-old-model-sofa-bed/,279 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/2/E03_A23-1.jpg,DAGRA,599
E13,E13,Bezug für 2er-Schlafsofa Ektorp altes Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-2-old-model-sofa-bed/,229 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/2/E01_A23-2.jpg,DAGRA,599
E14,E14,Bezug für Sessel Muren neues Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-muren-armchair-new/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,599
E15,E15,Bezug für 2er-Sofa Ektorp ohne Schlaffunktion neues Modell,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/cover-ektorp-2-new-model-sofa/,219 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/2/E01_A23-2.jpg,DAGRA,599
P02,P02,Stoffproben – Natural-Kollektion,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/fabrics-samples-natural-collection/,0 EUR,in stock,,DAGRA,599
P01,P01,Stoffproben – Lux-Kollektion,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/product/fabrics-samples-lux-collection/,0 EUR,in stock,,DAGRA,599
G01,G01,G01,Der Bezug wird sorgfältig mit Liebe zum Detail hergestellt.,https://dagra.eu/de/?post_type=product&p=3928,109 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/G01_A01-1.jpg,DAGRA,599
