id,mpn,title,description,link,price,availability,image_link,brand,google_product_category
B01,B01,Funda a rayas para sofá Beddinge,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,DAGRA,599
B02,B02,Funda acolchada para sofá Beddinge,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,DAGRA,599
E01,E01,Funda para sofá (no sofá cama) Ektorp 2 modelo anterior,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-2-sofa/,219 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E04,E04,Funda para sillón Ektorp,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,DAGRA,599
E05,E05,Funda para sillón Jennylund,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-jennylund-armchair/,109 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,DAGRA,599
E06,E06,Funda de sofá Ektorp esquinero,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-corner-sofa/,449 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,DAGRA,599
E09,E09,Funda para Ektorp reposapiés,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,DAGRA,599
E10,E10,Funda para sofá cama Ektorp 3 nuevo modelo,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-3-new-model-sofa-bed/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,DAGRA,599
E11,E11,Funda para sillón Tullsta,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-tullsta-armchair/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg,DAGRA,599
E12,E12,Funda para sillón Muren modelo anterior,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-ektorp-muren-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,599
S01,S01,Funda para sillón Strandmon,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-strandmon-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/S01_A15-1.jpg,DAGRA,599
S02,S02,Funda para reposapiés Strandmon,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-strandmon-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/S02_A15-1.jpg,DAGRA,599
B03,B03,Funda de almohada Beddinge para la espalda,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-back-cushion-beddinge/,9 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B03_L32.jpg,DAGRA,2927
B04,B04,Cubierta de reposabrazos Beddinge semicircular,La cubierta está hecha con cuidado y atención a los detalles.,https://dagra.eu/es/product/cover-cushion-beddinge-half-moon/,14 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B04_L32.jpg,DAGRA,2927
