id,mpn,title,description,link,price,availability,image_link,brand,google_product_category
B01,B01,Beddinge housse au sofa matelassée au rayures,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,DAGRA,599
B02,B02,Beddinge housse au sofa matelassée au karo,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,DAGRA,599
E01,E01,Ektorp 2 Housse pour sofa non convertible ancien modèle,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-2-sofa/,219 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E04,E04,Ektorp Housse pour fauteuils,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,DAGRA,599
E05,E05,Jennylund Housse pour fauteuils,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-jennylund-armchair/,109 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,DAGRA,599
E06,E06,Ektorp housse pour canapé d'angle,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-corner-sofa/,449 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,DAGRA,599
E09,E09,Ektorp Housse pour Repose-pieds,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,DAGRA,599
E10,E10,Ektorp 3 Housse pour sofa convertible nouveau modèle,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-3-new-model-sofa-bed/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,DAGRA,599
E11,E11,Tullsta Housse pour fauteuils,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-tullsta-armchair/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg,DAGRA,599
E12,E12,Muren Housse pour fauteuils ancien modèle,La couverture est fabriquée avec soin et dans le souci du détail.,https://dagra.eu/fr/product/cover-ektorp-muren-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,599
