id,mpn,title,description,link,price,availability,image_link,brand,google_product_category
B01,B01,Fodera per divano Beddinge a righe,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,DAGRA,599
B02,B02,Fodera per divano Beddinge a rombo,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,DAGRA,599
E01,E01,Copridivano Ektorp 2 non piegabile vecchio modello,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-2-sofa/,219 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E04,E04,Copripoltrona Ektorp,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,DAGRA,599
E05,E05,Copripoltrona Jennylund,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-jennylund-armchair/,109 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,DAGRA,599
E06,E06,Copridivano angolare Ektorp,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-corner-sofa/,449 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,DAGRA,599
E09,E09,Copripoggiapiedi Ektorp,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,DAGRA,599
E10,E10,Copridivano Ektorp 3 nuovo modello non piegabile,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-3-new-model-sofa-bed/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,DAGRA,599
E11,E11,Copripoltrona Tullsta,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-tullsta-armchair/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg,DAGRA,599
E12,E12,Copripoltrona Muren vecchio modello,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-muren-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,599
S01,S01,Fodera per poltrona Strandmon,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-strandmon-armchair/,149 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/S01_A15-1.jpg,DAGRA,599
S02,S02,Copripoggiapiedi Strandmon,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-strandmon-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/S02_A15-1.jpg,DAGRA,599
B03,B03,Federa per il cuscino Beddinge della schiena,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-back-cushion-beddinge/,9 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B03_L32.jpg,DAGRA,2927
B04,B04,Copri Beddinge bracciolo mezzaluna,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-cushion-beddinge-half-moon/,14 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B04_L32.jpg,DAGRA,2927
B05,B05,Copri Beddinge bracciolo rettangolare,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-cushion-beddinge-square/,14 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B05_L32.jpg,DAGRA,2927
E02,E02,Copridivano Ektorp 2 piegabile nuovo modello,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-2-new-model-sofa-bed/,229 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,599
E03,E03,Copridivano Ektorp 3 non piegabile Ektorp,La copertina è realizzata con cura e attenzione ai dettagli.,https://dagra.eu/it/product/cover-ektorp-3-sofa/,259 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/2/E03_A23-1.jpg,DAGRA,599
