id,title,description,link,price,availability,image_link,brand,shipping(country:region:price),shipping(country:region:price)_1,shipping(country:region:price)_2,shipping(country:region:price)_3,shipping(country:region:price)_4,shipping(country:region:price)_5,shipping(country:region:price)_6,shipping(country:region:price)_7,shipping(country:region:price)_8,shipping(country:region:price)_9,shipping(country:region:price)_10,shipping(country:region:price)_11,shipping(country:region:price)_12,shipping(country:region:price)_13,shipping(country:region:price)_14,shipping(country:region:price)_15,shipping(country:region:price)_16,shipping(country:region:price)_17,shipping(country:region:price)_18,shipping(country:region:price)_19,shipping(country:region:price)_20,shipping(country:region:price)_21,shipping(country:region:price)_22,shipping(country:region:price)_23
B01,Dynebetræk til 3-personers sovesofa Beddinge striber,Cobertura acolchoada para sofá-cama de 3 pessoas Listras de beddinge,https://dagra.eu/en/product/cover-beddinge-striped-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B01_L32-5.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
B02,Quiltet betræk til 3-personers sovesofa Beddinge diamanter,Capa acolchoada para sofá-cama para 3 pessoas Diamantes Beddinge,https://dagra.eu/en/product/cover-beddinge-diamonds-pattern/,119 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/B02_L32-7.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E01,Betræk til 2-personers sofa Ektorp uden sovefunktion,Capa para sofá Ektorp de 2 lugares sem função de sono,https://dagra.eu/en/product/cover-ektorp-2-sofa/,216 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E01_A15-2.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E04,Betræk til lænestol Ektorp,Capa para cadeira de braços Ektorp,https://dagra.eu/en/product/cover-ektorp-armchair/,139 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E04_A15-2.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E05,Betræk til Jennylund lænestol,Capa para cadeira de braços Jennylund,https://dagra.eu/en/product/cover-ektorp-jennylund-armchair/,118 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E05_A15-2.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E06,Betræk til 4-personers hjørnesofa Ektorp,Capa para sofá de canto de 4 lugares Ektorp,https://dagra.eu/en/product/cover-ektorp-corner-sofa/,394 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E06_A15-1.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E09,Betræk til Ektorp skammel,Tampa para banqueta de Ektorp,https://dagra.eu/en/product/cover-ektorp-footstool/,98 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E09_A15-1.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E10,Betræk til 3-sæders sovesofa Ektorp ny model,Capa para sofá-cama de 3 lugares Novo modelo Ektorp,https://dagra.eu/en/product/cover-ektorp-3-new-model-sofa-bed/,256 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E03_A15-2.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E11,Betræk til lænestol Tullsta,Capa para cadeira de braços Tullsta,https://dagra.eu/en/product/cover-ektorp-tullsta-armchair/,94 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E11_A23-2.jpg ,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
E12,Betræk til lænestol Muren,Capa para cadeira de braços Muren,https://dagra.eu/en/product/cover-ektorp-muren-armchair/,138 EUR,in stock,https://dagra.eu/de/wp-content/uploads/sites/3/E12_A01-2.jpg,DAGRA,AT::0 EUR,BE::5 EUR,BG::13 EUR,HR::9 EUR,CZ::0 EUR,DK::5 EUR,EE::7 EUR,FI::14 EUR,FR::9 EUR,DE::0 EUR,GR::15 EUR,HU::3 EUR,IT::9 EUR,LV::5 EUR,LT::7 EUR,LU::3 EUR,NL::3 EUR,PT::15 EUR,RO::11 EUR,SK::3 EUR,SI::11 EUR,ES::14 EUR,SE::14 EUR,PL::0 EUR
